experiment_id,method_id,method_label,dataset,selection_basis,val_mae_argmax_mean,val_mae_argmax_std,val_p90_error_mean,val_p90_error_std,val_high_angle_macro_f1_mean,val_high_angle_macro_f1_std,val_far_error_rate_abs_ge_20_mean,val_far_error_rate_abs_ge_20_std,test_mae_argmax_mean,test_mae_argmax_std,test_p90_error_mean,test_p90_error_std,test_high_angle_macro_f1_mean,test_high_angle_macro_f1_std,test_far_error_rate_abs_ge_20_mean,test_far_error_rate_abs_ge_20_std,source_file,notes
A2-best,alpha_tot_resnet18_no_maxpool_baseline,Alpha ToT baseline: ResNet18 no maxpool,Alpha_100,formal three-seed baseline,6.423576424,0.1274460622,25,8.660254038,0.7184152741,0.008053869367,0.1048951049,0.004354544399,5.949304175,0.06832866344,15,0,0.7130526697,0.003839576654,0.08946322068,0.002629971482,outputs/experiments/a2_best_3seed/*/metrics.json,Alpha ToT-only正式baseline;后续Alpha实验对照对象
A4b-5,validation_selected_selector,A4b-5 validation-selected late fusion selector,Alpha_100,validation-selected selector within A4b-5,6.053946054,0.1766707211,20,8.660254038,0.7272936395,0.004825065936,,,5.661033797,0.3199112334,15,0,0.7470134734,0.009289209185,,,outputs/a4b_5_gated_late_fusion_mean_std.csv,Alpha多模态expert-level主结果之一;validation-selected gated late fusion
A4b-6,validation_selected_residual_validation_grid,A4b-6 validation-selected residual fusion,Alpha_100,validation-selected residual rule within A4b-6,6.008991009,0.2262687643,25,8.660254038,0.7284732828,0.00791450348,,,5.800198807,0.07747742181,15,0,0.7322993306,0.003714472761,,,outputs/a4b_6_residual_gated_fusion_mean_std.csv,Alpha多模态residual gated对照;validation表现强但test不一定最高
A4c-1-3,dual_stream_concat_aux,A4c dual_stream_concat_aux,Alpha_100,three-seed end-to-end bimodal comparison; selection by validation,6.493506494,0.2812768876,30,0,0.7070502787,0.01083278279,0.1068931069,0.006238759239,5.631212724,0.3325194569,15,0,0.7494376188,0.01113824166,0.08217362492,0.008277001986,outputs/a4c_end_to_end_bimodal_fusion_mean_std.csv,端到端双模态concat/GMU/FiLM;重点是Macro-F1和30度困难类别改善
A4c-1-3,dual_stream_gmu_aux,A4c dual_stream_gmu_aux,Alpha_100,three-seed end-to-end bimodal comparison; selection by validation,6.273726274,0.1291959756,20,8.660254038,0.7012315546,0.01221282842,0.0969030969,0.006993006993,5.720675944,0.008608602423,15,0,0.7403053461,0.00660475241,0.08681245858,0.003763358745,outputs/a4c_end_to_end_bimodal_fusion_mean_std.csv,端到端双模态concat/GMU/FiLM;重点是Macro-F1和30度困难类别改善
A4c-1-3,toa_conditioned_film,A4c toa_conditioned_film,Alpha_100,three-seed end-to-end bimodal comparison; selection by validation,6.328671329,0.1309225017,25,8.660254038,0.7090519367,0.006245185169,0.1025641026,0.003211338915,5.775347913,0.2359134053,15,0,0.7432719746,0.01197911134,0.08648111332,0.006207751489,outputs/a4c_end_to_end_bimodal_fusion_mean_std.csv,端到端双模态concat/GMU/FiLM;重点是Macro-F1和30度困难类别改善
A5d,toa_only_diag,ToA-only diagnostic handcrafted features,Alpha_100,A5d internal comparison selected by validation only,6.128871129,0.03964662304,15,0,0.7229175575,0.005674888201,0.0969030969,0.000999000999,5.959244533,0.008608602423,15,0,0.7174333292,0.007930592877,0.0858184228,0.0005739068282,outputs/a5d_alpha_handcrafted_gated_3seed_mean_std.csv,手工物理特征gated三seed验证;validation正向但test accuracy不稳定
A5d,main_5feat,5 handcrafted physical features,Alpha_100,A5d internal comparison selected by validation only,6.208791209,0.08253102718,15,0,0.7185156445,0.0004284305405,0.0979020979,0.001730320487,5.874751491,0.2314737778,15,0,0.727734136,0.005123166545,0.08283631544,0.005474722214,outputs/a5d_alpha_handcrafted_gated_3seed_mean_std.csv,手工物理特征gated三seed验证;validation正向但test accuracy不稳定
B1-best,proton_tot_resnet18_no_maxpool_baseline,Proton_C_7 ToT baseline: ResNet18 no maxpool,Proton_C_7,formal three-seed baseline,0.675898931,0.1841632242,0,0,0.902664626,0.02598829262,0.0007126660188,0.0004986979047,0.6403534324,0.1607846581,0,0,0.9067265573,0.02360725466,0.0007120432404,0.0002242354672,outputs/b1_proton_c7_resnet18_tot_best_patience8_3seed_mean_std.csv,Proton_C_7正式baseline;patience=8版本
B3b-main,ce_expected_mae_lambda_0.05,"CE + ExpectedMAE, lambda=0.05",Proton_C_7,selected from B3a by validation accuracy,0.5495626822,0.001943634597,0,0,0.927615715,0.0007877662841,0.001976028507,0.0001484475444,0.5316050102,0.01037846312,0,0,0.9302343889,0.0006321288243,0.001424086481,0.0001483178203,outputs/b3b_proton_c7_expected_mae_3seed_mean_std.csv,Proton当前推荐损失;ExpectedMAE显著提升且稳定
B3b-optional,ce_emd_lambda_0.05,"CE + EMD, lambda=0.05",Proton_C_7,optional control; close validation result,0.5448655653,0.01544496649,0,0,0.9271672393,0.001778973757,0.001684483317,0.0003927552852,0.5319286662,0.01125373897,0,0,0.9296751058,0.0008665833797,0.001391720879,0.0003676025728,outputs/b3b_proton_c7_ce_emd_optional_3seed_mean_std.csv,CE+EMD有序损失对照;Val MAE略优但不是primary metric最优
