experiment_id,method_id,method_label,dataset,particle,modalities,model,fusion_mode,gate_context,source_file,notes,n_runs,seeds,selected_strategies,val_accuracy_mean,val_accuracy_std,test_accuracy_mean,test_accuracy_std,val_mae_argmax_mean,val_mae_argmax_std,test_mae_argmax_mean,test_mae_argmax_std,val_p90_error_mean,val_p90_error_std,test_p90_error_mean,test_p90_error_std,val_macro_f1_mean,val_macro_f1_std,test_macro_f1_mean,test_macro_f1_std,val_selection_rate_mean,val_selection_rate_std,test_selection_rate_mean,test_selection_rate_std,val_gate_tot_mean_mean,val_gate_tot_mean_std,test_gate_tot_mean_mean,test_gate_tot_mean_std,val_gate_toa_mean_mean,val_gate_toa_mean_std,test_gate_toa_mean_mean,test_gate_toa_mean_std,val_film_gamma_abs_mean_mean,val_film_gamma_abs_mean_std,test_film_gamma_abs_mean_mean,test_film_gamma_abs_mean_std,val_film_beta_abs_mean_mean,val_film_beta_abs_mean_std,test_film_beta_abs_mean_mean,test_film_beta_abs_mean_std,test_seconds_mean,test_seconds_std,val_high_angle_macro_f1_mean,val_high_angle_macro_f1_std,val_far_error_rate_abs_ge_20_mean,val_far_error_rate_abs_ge_20_std,test_high_angle_macro_f1_mean,test_high_angle_macro_f1_std,test_far_error_rate_abs_ge_20_mean,test_far_error_rate_abs_ge_20_std,expert_gate_freeze_experts,val_gate_primary_mean_mean,val_gate_primary_mean_std,test_gate_primary_mean_mean,test_gate_primary_mean_std,val_gate_candidate_mean_mean,val_gate_candidate_mean_std,test_gate_candidate_mean_mean,test_gate_candidate_mean_std,handcrafted_features,val_confusion_45_50_mean,val_confusion_45_50_std,test_confusion_45_50_mean,test_confusion_45_50_std,val_confusion_60_70_mean,val_confusion_60_70_std,test_confusion_60_70_mean,test_confusion_60_70_std
A4b-candidate,candidate_only,candidate_only,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector_or_residual,posthoc prediction-level selector/residual diagnostics,outputs/a4b_4e_rule_selector_mean_std.csv,A4b prediction-level fusion / oracle / selector diagnostics,3,42;43;44,candidate_only,0.6803196803,0.01080584798,0.6875414182,0.01518414743,6.918081918,0.2472905853,6.545725646,0.3131212724,30,0,25,8.660254038,0.6216856211,0.01645735092,0.6258259358,0.01599622353,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4b-candidate,oracle,oracle,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector_or_residual,posthoc prediction-level selector/residual diagnostics,outputs/a4b_4e_rule_selector_mean_std.csv,A4b prediction-level fusion / oracle / selector diagnostics,3,42;43;44,oracle,0.7742257742,0.02163477305,0.7975480451,0.01963902122,4.545454545,0.5167839024,4.060636183,0.4383630191,15,0,15,0,0.7255134594,0.03672649832,0.7482722488,0.03612003121,0.09290709291,0.02249416633,0.09940357853,0.02436908682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4b-candidate,primary_only,primary_only,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector_or_residual,posthoc prediction-level selector/residual diagnostics,outputs/a4b_4e_rule_selector_mean_std.csv,A4b prediction-level fusion / oracle / selector diagnostics,3,42;43;44,primary_only,0.6903096903,0.004577997697,0.7044400265,0.001518414743,6.423576424,0.1274460622,5.949304175,0.06832866344,25,8.660254038,15,0,0.6218109814,0.006996255505,0.6363391847,0.00902695579,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4b-candidate,validation_selected_rule_validation_rule_selection,validation_selected_rule_validation_rule_selection,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector_or_residual,posthoc prediction-level selector/residual diagnostics,outputs/a4b_4e_rule_selector_mean_std.csv,A4b prediction-level fusion / oracle / selector diagnostics,3,42;43;44,rule:rule_conf_adv_0p15;rule:rule_entropy_adv_0p0;rule:rule_entropy_adv_0p03,0.706959707,0.004721094532,0.7143803844,0.005652326743,6.188811189,0.2161169596,5.83499006,0.1205204339,25,8.660254038,15,0,0.6401749722,0.01742699462,0.6446271398,0.01286942704,0.08891108891,0.03760545499,0.09509609013,0.05404788693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4b-5,candidate_only,candidate_only,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector_or_residual,posthoc prediction-level selector/residual diagnostics,outputs/a4b_5_gated_late_fusion_mean_std.csv,A4b prediction-level fusion / oracle / selector diagnostics,3,42;43;44,candidate_only,0.6803196803,0.01080584798,0.6875414182,0.01518414743,6.918081918,0.2472905853,6.545725646,0.3131212724,30,0,25,8.660254038,0.6216856211,0.01645735092,0.6258259358,0.01599622353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4b-5,oracle,oracle,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector_or_residual,posthoc prediction-level selector/residual diagnostics,outputs/a4b_5_gated_late_fusion_mean_std.csv,A4b prediction-level fusion / oracle / selector diagnostics,3,42;43;44,oracle,0.7742257742,0.02163477305,0.7975480451,0.01963902122,4.545454545,0.5167839024,4.060636183,0.4383630191,15,0,15,0,0.7255134594,0.03672649832,0.7482722488,0.03612003121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4b-5,primary_only,primary_only,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector_or_residual,posthoc prediction-level selector/residual diagnostics,outputs/a4b_5_gated_late_fusion_mean_std.csv,A4b prediction-level fusion / oracle / selector diagnostics,3,42;43;44,primary_only,0.6903096903,0.004577997697,0.7044400265,0.001518414743,6.423576424,0.1274460622,5.949304175,0.06832866344,25,8.660254038,15,0,0.6218109814,0.006996255505,0.6363391847,0.00902695579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4b-5,validation_selected_selector,validation_selected_selector,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector_or_residual,posthoc prediction-level selector/residual diagnostics,outputs/a4b_5_gated_late_fusion_mean_std.csv,A4b prediction-level fusion / oracle / selector diagnostics,3,42;43;44,a4b5d_class_aware_prob_train;a4b5d_class_aware_prob_val-cv,0.713952714,0.005853611665,0.7216699801,0.01724587632,6.053946054,0.1766707211,5.661033797,0.3199112334,20,8.660254038,15,0,0.6561137967,0.01946214541,0.6619633929,0.02685252861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4b-6,candidate_only,candidate_only,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector_or_residual,posthoc prediction-level selector/residual diagnostics,outputs/a4b_6_residual_gated_fusion_mean_std.csv,A4b prediction-level fusion / oracle / selector diagnostics,3,42;43;44,candidate_only,0.6803196803,0.01080584798,0.6875414182,0.01518414743,6.918081918,0.2472905853,6.545725646,0.3131212724,30,0,25,8.660254038,0.6216856211,0.01645735092,0.6258259358,0.01599622353,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4b-6,oracle,oracle,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector_or_residual,posthoc prediction-level selector/residual diagnostics,outputs/a4b_6_residual_gated_fusion_mean_std.csv,A4b prediction-level fusion / oracle / selector diagnostics,3,42;43;44,oracle,0.7742257742,0.02163477305,0.7975480451,0.01963902122,4.545454545,0.5167839024,4.060636183,0.4383630191,15,0,15,0,0.7255134594,0.03672649832,0.7482722488,0.03612003121,0.09290709291,0.02249416633,0.09940357853,0.02436908682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
