row_type,experiment_id,method_id,method_label,dataset,particle,modalities,fusion_mode,split,accuracy,macro_f1,mae_argmax,source_file,notes,handcrafted_features,val_baseline_accuracy,importance_mean,importance_std,seed,handcrafted_source_modalities,val_accuracy,val_mae_argmax,val_macro_f1,test_accuracy,test_mae_argmax,test_macro_f1
classical_model_metrics,A5a,random_forest,random_forest,Alpha_100,alpha,handcrafted_only,classical_ml,train,1.0,1.0,0.0,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening/model_metrics.csv,handcrafted-only screening; diagnostic,,,,,,,,,,,,
classical_model_metrics,A5a,random_forest,random_forest,Alpha_100,alpha,handcrafted_only,classical_ml,val,0.6393606393606394,0.5902940334519282,8.046953046953046,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening/model_metrics.csv,handcrafted-only screening; diagnostic,,,,,,,,,,,,
classical_model_metrics,A5a,logistic_regression_ovr,logistic_regression_ovr,Alpha_100,alpha,handcrafted_only,classical_ml,train,0.5853293413173652,0.5727543914771014,8.76684131736527,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening/model_metrics.csv,handcrafted-only screening; diagnostic,,,,,,,,,,,,
classical_model_metrics,A5a,logistic_regression_ovr,logistic_regression_ovr,Alpha_100,alpha,handcrafted_only,classical_ml,val,0.5894105894105894,0.5756817552255693,9.020979020979022,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening/model_metrics.csv,handcrafted-only screening; diagnostic,,,,,,,,,,,,
feature_group_importance,A5a,logistic_regression_ovr:geometry,logistic_regression_ovr group geometry,Alpha_100,alpha,handcrafted_only,permutation_importance,,,,,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening/group_permutation_importance_val.csv,feature group importance on validation split,active_pixel_count;bbox_long;bbox_short;bbox_fill_ratio;pca_major_axis;pca_minor_axis,0.5894105894105894,0.3248751248751248,0.011716880648468132,,,,,,,,
feature_group_importance,A5a,logistic_regression_ovr:tot,logistic_regression_ovr group tot,Alpha_100,alpha,handcrafted_only,permutation_importance,,,,,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening/group_permutation_importance_val.csv,feature group importance on validation split,total_ToT;ToT_density,0.5894105894105894,0.12607392607392615,0.010631736421089721,,,,,,,,
feature_group_importance,A5a,logistic_regression_ovr:axis_interaction,logistic_regression_ovr group axis_interaction,Alpha_100,alpha,handcrafted_only,permutation_importance,,,,,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening/group_permutation_importance_val.csv,feature group importance on validation split,ToA_major_axis_slope_abs;ToA_major_axis_corr_abs,0.5894105894105894,0.08531468531468536,0.009271891828309372,,,,,,,,
feature_group_importance,A5a,logistic_regression_ovr:toa,logistic_regression_ovr group toa,Alpha_100,alpha,handcrafted_only,permutation_importance,,,,,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening/group_permutation_importance_val.csv,feature group importance on validation split,ToA_span;ToA_p90_minus_p10,0.5894105894105894,0.014235764235764248,0.002715280304680687,,,,,,,,
feature_group_importance,A5a,random_forest:geometry,random_forest group geometry,Alpha_100,alpha,handcrafted_only,permutation_importance,,,,,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening/group_permutation_importance_val.csv,feature group importance on validation split,active_pixel_count;bbox_long;bbox_short;bbox_fill_ratio;pca_major_axis;pca_minor_axis,0.6393606393606394,0.23821178821178818,0.014333053468125277,,,,,,,,
feature_group_importance,A5a,random_forest:tot,random_forest group tot,Alpha_100,alpha,handcrafted_only,permutation_importance,,,,,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening/group_permutation_importance_val.csv,feature group importance on validation split,total_ToT;ToT_density,0.6393606393606394,0.07527472527472527,0.008197136494747806,,,,,,,,
